Variable_1,Variable_2,Pearson,Spearman,Abs_Pearson,Abs_Spearman,Clasificacion
COBERTURA DE ACUEDUCTO URBANO,CONDUCTIVIDAD ELECTRICA,-0.3070864805356978,-0.3350801813242426,0.3070864805356978,0.3350801813242426,Débil
DENSIDAD POBLACIONAL,CONDUCTIVIDAD ELECTRICA,-0.3070864805356978,-0.3350801813242426,0.3070864805356978,0.3350801813242426,Débil
COBERTURA DE ALCANTARILLADO RURAL,CONDUCTIVIDAD ELECTRICA,-0.3070864805356978,-0.3350801813242426,0.3070864805356978,0.3350801813242426,Débil
Temp_Min_C,pH,-0.30317948856566224,-0.38729198285069055,0.30317948856566224,0.38729198285069055,Débil
AGUAS RESIDUALES TRATADAS,TURBIDEZ,0.30062677874863347,0.29277002188455997,0.30062677874863347,0.29277002188455997,Débil
Temp_Max_C,SOLIDOS SUSPENDIDOS TOTALES,0.3003575509374064,0.4628482249981693,0.3003575509374064,0.4628482249981693,Débil
Temp_Min_C,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.29822791960544387,-0.377934807473595,0.29822791960544387,0.377934807473595,Muy débil
TURBIDEZ,pH,-0.2966181541160521,-0.4739376392880904,0.2966181541160521,0.4739376392880904,Muy débil
ONI,FOSFORO TOTAL,-0.2963961843847241,-0.37638093671286127,0.2963961843847241,0.37638093671286127,Muy débil
DEMANDA QUIMICA DE OXIGENO (DQO),TEMPERATURA,0.2958232794126989,0.3203174847277507,0.2958232794126989,0.3203174847277507,Muy débil
AGUAS RESIDUALES TRATADAS,CONDUCTIVIDAD ELECTRICA,0.2934854366663909,0.26352313834736496,0.2934854366663909,0.26352313834736496,Muy débil
Temp_Max_C,TURBIDEZ,0.2915271996487829,0.3788596803662416,0.2915271996487829,0.3788596803662416,Muy débil
Temp_Min_C,SOLIDOS SUSPENDIDOS TOTALES,0.2903348421876958,0.3496313754461724,0.2903348421876958,0.3496313754461724,Muy débil
CONDUCTIVIDAD ELECTRICA,SOLIDOS SUSPENDIDOS TOTALES,0.2896624531891696,0.27298706050494964,0.2896624531891696,0.27298706050494964,Muy débil
AGUAS RESIDUALES TRATADAS,FOSFORO TOTAL,0.28892468630002816,0.26352313834736496,0.28892468630002816,0.26352313834736496,Muy débil
Temp_Max_C,DEMANDA BIOQUIMICA DE OXIGENO (DBO5),-0.28708489542854404,-0.35749849301016584,0.28708489542854404,0.35749849301016584,Muy débil
Radiacion_Solar,NITROGENO TOTAL,0.2843707277144987,0.36974997201264437,0.2843707277144987,0.36974997201264437,Muy débil
Precipitacion_mm,Temp_Max_C,-0.2820186709293169,-0.2877989391489498,0.2820186709293169,0.2877989391489498,Muy débil
CONDUCTIVIDAD ELECTRICA,pH,0.28127777658981534,0.4919678268139545,0.28127777658981534,0.4919678268139545,Muy débil
Temp_Media_C,DEMANDA QUIMICA DE OXIGENO (DQO),0.2807215190514399,0.35398591820440767,0.2807215190514399,0.35398591820440767,Muy débil
Anio,ONI,-0.2775895191376329,-0.25457649135534294,0.2775895191376329,0.25457649135534294,Muy débil
Temp_Min_C,Humedad_Relativa,-0.27436943033339906,-0.20511308510648119,0.27436943033339906,0.20511308510648119,Muy débil
Temp_Min_C,NITROGENO TOTAL,0.27360806638951196,0.17440571631242652,0.27360806638951196,0.17440571631242652,Muy débil
Anio,TURBIDEZ,0.2704284191327212,0.2431259817974645,0.2704284191327212,0.2431259817974645,Muy débil
Temp_Min_C,CONDUCTIVIDAD ELECTRICA,0.2672309711917507,0.16807529792718093,0.2672309711917507,0.16807529792718093,Muy débil
ONI,CONDUCTIVIDAD ELECTRICA,-0.2666707325613968,-0.36012085055377246,0.2666707325613968,0.36012085055377246,Muy débil
DEMANDA QUIMICA DE OXIGENO (DQO),SOLIDOS SUSPENDIDOS TOTALES,0.2650987377465772,0.2886892612988735,0.2650987377465772,0.2886892612988735,Muy débil
SOLIDOS SUSPENDIDOS TOTALES,TEMPERATURA,0.2648774906937833,0.3754293263962671,0.2648774906937833,0.3754293263962671,Muy débil
COBERTURA DE ACUEDUCTO URBANO,TURBIDEZ,-0.2635128105986094,-0.22377196625315499,0.2635128105986094,0.22377196625315499,Muy débil
PORCENTAJE DE LA POBLACION CON ACCESO A METODOS DE SANEAMIENTO ADECUADOS,TURBIDEZ,-0.2635128105986094,-0.22377196625315499,0.2635128105986094,0.22377196625315499,Muy débil
DENSIDAD POBLACIONAL,TURBIDEZ,-0.2635128105986094,-0.22377196625315499,0.2635128105986094,0.22377196625315499,Muy débil
ACCESO A AGUA POTABLE ADECUADO,TURBIDEZ,-0.2635128105986094,-0.22377196625315499,0.2635128105986094,0.22377196625315499,Muy débil
COBERTURA DE ALCANTARILLADO RURAL,TURBIDEZ,-0.2635128105986094,-0.22377196625315499,0.2635128105986094,0.22377196625315499,Muy débil
COBERTURA DE ALCANTARILLADO URBANO,TURBIDEZ,-0.2635128105986094,-0.22377196625315499,0.2635128105986094,0.22377196625315499,Muy débil
COBERTURA DE ACUEDUCTO RURAL,TURBIDEZ,-0.2635128105986094,-0.22377196625315499,0.2635128105986094,0.22377196625315499,Muy débil
Mes,SOLIDOS SUSPENDIDOS TOTALES,0.2614224274871692,0.2115463100131904,0.2614224274871692,0.2115463100131904,Muy débil
Temp_Max_C,Nivel_Minimo,0.26009675687083067,0.34174037072740204,0.26009675687083067,0.34174037072740204,Muy débil
COBERTURA DE ACUEDUCTO RURAL,pH,0.25826663158179086,0.0736986803191156,0.25826663158179086,0.0736986803191156,Muy débil
COBERTURA DE ALCANTARILLADO URBANO,pH,0.25826663158179086,0.0736986803191156,0.25826663158179086,0.0736986803191156,Muy débil
